declarationNumber,declarationType,declarationDate,state,county,incidentType,incidentTitle,startDate,endDate,closeDate,individualAssistanceProgram,individualsAndHouseholdsProgram,publicAssistanceProgram,hazardMitigationProgram,year,month
EM-3281,Emergency,2007-12-12,MO,Atchison County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Audrain County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Barry County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Barton County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Bates County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Benton County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Bollinger County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Boone County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Buchanan County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Butler County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Caldwell County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Callaway County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Camden County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Cape Girardeau County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Carroll County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Carter County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Cass County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Cedar County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Chariton County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Christian County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Clark County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Clay County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Clinton County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Cole County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Cooper County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Crawford County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Dade County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Dallas County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Daviess County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,DeKalb County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Dent County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Douglas County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Dunklin County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Franklin County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Gasconade County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Gentry County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Greene County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Grundy County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Harrison County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Henry County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Hickory County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Holt County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Howard County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Howell County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Iron County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Jackson County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Jasper County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Jefferson County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Johnson County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Knox County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Laclede County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Lafayette County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Lawrence County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Lewis County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Lincoln County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Linn County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Livingston County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,McDonald County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Macon County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Madison County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Maries County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Marion County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Mercer County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Miller County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Mississippi County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Moniteau County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Monroe County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Montgomery County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Morgan County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,New Madrid County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Newton County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Nodaway County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Oregon County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Osage County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Ozark County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Pemiscot County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Perry County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Pettis County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Phelps County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Pike County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Platte County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Polk County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Pulaski County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Putnam County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Ralls County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Randolph County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Ray County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Reynolds County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Ripley County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,St. Charles County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,St. Clair County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Ste. Genevieve County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,St. Francois County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,St. Louis County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Saline County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Schuyler County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Scotland County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Scott County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Shannon County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Shelby County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Stoddard County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Stone County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Sullivan County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Taney County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Texas County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Vernon County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Warren County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Washington County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Wayne County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Webster County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Worth County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
EM-3281,Emergency,2007-12-12,MO,Wright County,Ice,Severe Winter Storms,12/08/2007,12/15/2007,03/15/2011,No,No,Yes,No,2007,12
DR-1735,Disaster,2007-12-18,OK,Beaver County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Caddo County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Canadian County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Cleveland County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Craig County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Creek County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Delaware County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Grady County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Lincoln County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,McClain County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Mayes County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Nowata County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Okfuskee County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Oklahoma County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Okmulgee County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Osage County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Ottawa County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Pawnee County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Payne County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Pottawatomie County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Rogers County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Seminole County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Tulsa County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Wagoner County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1735,Disaster,2007-12-18,OK,Washington County,Ice,Severe Winter Storms,12/08/2007,01/03/2008,,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Adair County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Andrew County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Atchison County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Audrain County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Barton County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Benton County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Boone County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Buchanan County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Caldwell County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Callaway County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Camden County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Cedar County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Clinton County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Cole County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Dade County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Daviess County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,DeKalb County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Gentry County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Grundy County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Harrison County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Hickory County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Holt County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Jasper County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Lincoln County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Linn County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,McDonald County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Mercer County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Miller County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Moniteau County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Montgomery County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Morgan County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Newton County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Nodaway County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Osage County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Pike County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Putnam County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,St. Clair County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Schuyler County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Scotland County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Sullivan County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Warren County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1736,Disaster,2007-12-27,MO,Worth County,Ice,Severe Winter Storms,12/06/2007,12/15/2007,08/27/2014,No,No,Yes,Yes,2007,12
DR-1737,Disaster,2008-01-04,IA,Adair County,Ice,Severe Winter Storm,12/10/2007,12/11/2007,05/01/2014,No,No,Yes,Yes,2008,1
